Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
0,0,0,0,1,1,3,24912.0,15,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,7,45401.0,16,1,1,0,0,0,0,1,0,0,0
0,0,3,0,0,1,12,37620.0,23,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,11,40489.0,16,1,1,0,0,1,0,0,0,0,0
0,0,3,1,0,1,20,58000.0,17,1,1,0,0,0,0,0,1,0,0
0,0,2,1,1,1,2,12828.0,8,0,0,0,1,0,0,0,0,1,0
0,0,3,1,1,1,7,48472.0,4,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,7,27528.0,15,1,1,0,0,0,0,0,0,1,0
0,0,0,1,0,1,8,19389.0,15,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,11,43239.0,7,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,12,16215.0,13,0,1,0,0,0,0,1,0,0,0
0,0,2,0,1,1,10,35676.0,6,0,1,0,0,0,0,1,0,0,0
1,0,2,0,1,1,27,180000.0,5,0,1,0,0,0,0,0,1,0,0
0,0,4,1,0,0,10,51888.0,4,0,1,0,0,0,0,1,0,0,0
0,0,4,1,0,1,6,33095.0,5,0,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,4,8364.0,7,0,1,0,0,1,0,0,0,0,0
0,0,2,1,0,1,3,70000.0,7,0,1,0,0,0,0,0,1,0,0
1,0,3,1,0,1,9,57072.0,6,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,30,130000.0,12,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,3,22512.0,5,0,1,0,0,0,0,0,0,1,0
0,0,3,0,0,1,7,2568.0,8,0,1,0,0,0,0,0,0,1,0
0,1,2,1,0,1,5,22536.0,28,1,1,0,0,0,0,0,0,0,1
1,0,2,0,0,0,9,96000.0,3,0,1,0,0,0,0,0,1,0,0
0,1,2,1,1,1,15,32424.0,7,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,9,42156.0,13,1,1,0,0,0,0,1,0,0,0
